 the 1-Fibonatchi is =  1
 the 2-Fibonatchi is =  1
 the 3-Fibonatchi is =  2
 the 4-Fibonatchi is =  3
 the 5-Fibonatchi is =  5
 the 6-Fibonatchi is =  8
 the 7-Fibonatchi is =  13
 the 8-Fibonatchi is =  21
 the 9-Fibonatchi is =  34
 the 10-Fibonatchi is =  55
 the 11-Fibonatchi is =  89
 the 12-Fibonatchi is =  144
 the 13-Fibonatchi is =  233
 the 14-Fibonatchi is =  377
 the 15-Fibonatchi is =  610
 the 16-Fibonatchi is =  987
 the 17-Fibonatchi is =  1597
 the 18-Fibonatchi is =  2584
 the 19-Fibonatchi is =  4181
 the 20-Fibonatchi is =  6765
